Sentence,Direction,Reading Time (s),Eye Tracking Start Time (CPU Uptime)
I went to the movies yesterday. It was fun and exciting. I want to see the film again. I will bring my friends. We will eat popcorn together.,0,5.339448699960485,627425500
I wrote a letter to my grandmother. She lives in another country. She does not have a phone. She does have a mailbox. It is the only way to contact her.,0,7.103931099991314,627435750
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,6.377509000012651,627445859
The nervous system is made of neurons. It connects our brain and body. The brain has many functions. The mind is very complex. We are still learning about it.,0,6.084523299941793,627456046
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,5.20685869990848,627466484
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,4.880308200023137,627476484
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,6.189858100027777,627486750
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,5.586843800032511,627497109
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,5.2838237000396475,627507515
I went to the movies yesterday. It was fun and exciting. I want to see the film again. I will bring my friends. We will eat popcorn together.,0,5.491772999987006,627517687
The nervous system is made of neurons. It connects our brain and body. The brain has many functions. The mind is very complex. We are still learning about it.,0,5.997785500017926,627527953
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,5.534117100061849,627538078
The nervous system is made of neurons. It connects our brain and body. The brain has many functions. The mind is very complex. We are still learning about it.,0,5.405962800025009,627548625
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,6.377035999903455,627558890
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,5.09569789993111,627568750
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,5.467119000037201,627579281
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,6.853484599967487,627589593
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,5.726862299954519,627600062
I went to the movies yesterday. It was fun and exciting. I want to see the film again. I will bring my friends. We will eat popcorn together.,0,4.9885326999938115,627610125
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,5.611442200024612,627620265
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,5.145514200092293,627630671
I wrote a letter to my grandmother. She lives in another country. She does not have a phone. She does have a mailbox. It is the only way to contact her.,0,5.236020600073971,627641046
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,4.229548800038174,627651203
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,5.537334099994041,627661046
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,6.066358799929731,627671796
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,4.662428800016642,627681703
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,4.410321600036696,627692156
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,5.812328799976967,627702609
I went to the movies yesterday. It was fun and exciting. I want to see the film again. I will bring my friends. We will eat popcorn together.,0,4.323330299928784,627712375
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,4.240608099964447,627722687
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,4.008812699932605,627733156
"My family likes to eat pasta everyday. We will eat spaghetti for dinner. Yesterday, we ate lasagna. Tomorrow, we will eat ravioli. Italian food is our favorite.",0,4.3500493000028655,627743328
The nervous system is made of neurons. It connects our brain and body. The brain has many functions. The mind is very complex. We are still learning about it.,0,4.859066499979235,627753781
The nervous system is made of neurons. It connects our brain and body. The brain has many functions. The mind is very complex. We are still learning about it.,0,5.031186099979095,627764093
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,4.611165700014681,627774218
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,3.4481901000253856,627784234
I want to become a doctor. I am applying to medical schools. The application is very long. I am feeling very tired. It is due in June.,0,4.0869051000336185,627794453
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,4.052614500047639,627804953
I got a job as the new librarian. I like the smell of old books. It is very quiet inside. The hours are very flexible. I am being paid very well.,0,3.693551600095816,627814968
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,5.096025499980897,627825296
"There is a dictionary open on the table. I pick up the dictionary. The word ""gazebo"" is highlighted. I read the definition. It is a type of garden structure.",0,5.548548400052823,627835625
I wrote a letter to my grandmother. She lives in another country. She does not have a phone. She does have a mailbox. It is the only way to contact her.,0,3.8637090999400243,627846109
I wrote a letter to my grandmother. She lives in another country. She does not have a phone. She does have a mailbox. It is the only way to contact her.,0,4.3779565000440925,627856281
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,4.65686430002097,627866593
He used a knife to cut the turkey. She used a fork to eat the cake. The baby ate cranberry sauce. The dog bumped into the table. They used napkins to clean the mess.,0,4.19185900001321,627876890
I prefer ice cream over cake. Sally likes cake over ice cream. John likes cookies over both. Lisa likes cookie-flavored ice cream Justin does not like food that is sweet.,0,5.222018499975093,627887156
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,4.014195200055838,627897109
I went to the movies yesterday. It was fun and exciting. I want to see the film again. I will bring my friends. We will eat popcorn together.,0,3.953006500029005,627907562
The sky is cloudy and gray. The wind is blowing. It might rain today. I do not want to get wet. I should bring an umbrella.,0,3.676021499908529,627917718
I wrote a letter to my grandmother. She lives in another country. She does not have a phone. She does have a mailbox. It is the only way to contact her.,0,3.999715399928391,627928125
